Age,Gender,Height_cm,Weight_kg,Know_BMI,Fitness_Goal,Activity_Level,Exercise_Frequency,Medical_Conditions,Tracking_Preference,Motivation,Willingness_to_Use_App,Importance_of_Sustainability,Empathy_Preference,Willingness_to_Pay,Useful_App_Features,Used_Fitness_App_Before,Stopped_App_Reason,Workout_Preference,Monthly_Income,Fitness_Persona,Would_Recommend_App,BMI
26,Female,161,78,Yes,Maintain health,Low,1–2,Yes,Not tracking,Mental health,3,5,Maybe,₹500–₹1000,"Mental health tips, Challenges, Reminders, Community features",No,"App was buggy, Too expensive",Guided,₹1L–₹2L,Start but can’t continue,Yes,33.82734960176928
26,Female,157,43,No,Muscle gain,Low,0,Yes,In-app tracking,Energy,5,3,Yes,₹0,"Reminders, Mental health tips, Community features, Challenges",Yes,"Privacy concerns, App was buggy, Others",Self-paced,₹50k–₹1L,Consistent,Yes,15.761711274628531
31,Male,175,64,Yes,Weight loss,Medium,1–2,No,Manual logs,Energy,4,2,No,₹500–₹1000,"Mental health tips, Reminders, Workout plans, Challenges",Yes,"Got bored, Privacy concerns",Mix of both,₹20k–₹50k,Need motivation to start,Maybe,21.18985909798777
14,Female,165,74,No,Others,Low,0,No,In-app tracking,Mental health,3,3,Yes,>₹1000,"Reminders, Diet tracker",No,"Privacy concerns, App was buggy",Mix of both,₹50k–₹1L,Consistent,Maybe,26.94708061015562
16,Male,184,72,Yes,Improve flexibility,Low,1–2,No,Wearable devices,Appearance,4,5,Maybe,₹200–₹500,"Mental health tips, Community features, Challenges, Workout plans",Yes,"Privacy concerns, Didn’t see results, App was buggy",Guided,₹1L–₹2L,Consistent,Yes,21.128352374886976
25,Female,164,110,Yes,Weight loss,Medium,3–4,No,In-app tracking,Social influence,3,4,Yes,₹500–₹1000,"Reminders, Mental health tips, Diet tracker",Yes,"Privacy concerns, Got bored, Others",Mix of both,₹50k–₹1L,Start but can’t continue,Yes,38.56601639962348
21,Female,157,75,No,Weight loss,Medium,1–2,No,Not tracking,Mental health,4,4,Maybe,₹200–₹500,"Workout plans, Community features",No,Got bored,Mix of both,₹50k–₹1L,Consistent,Yes,34.019368101500426
32,Female,149,54,No,Weight loss,Low,3–4,No,In-app tracking,Energy,4,3,Maybe,₹200–₹500,"Reminders, Challenges",Yes,"Didn’t see results, Got bored, Others",Guided,>₹2L,Consistent,Maybe,22.5735039020434
22,Female,146,68,No,Weight loss,Low,1–2,No,In-app tracking,Social influence,2,4,Yes,₹200–₹500,"Community features, Diet tracker",No,"Didn’t see results, Others, App was buggy",Mix of both,₹20k–₹50k,Need better results,Maybe,32.21823271974792
18,Female,149,43,No,Maintain health,High,Daily,No,In-app tracking,Mental health,5,5,Yes,₹200–₹500,"Challenges, Mental health tips",No,Got bored,Mix of both,₹20k–₹50k,Need motivation to start,Yes,18.478213087396313
41,Female,167,68,No,Mental wellness,High,Daily,No,Wearable devices,Appearance,1,2,Maybe,₹200–₹500,"Mental health tips, Reminders",No,Got bored,Self-paced,₹50k–₹1L,Need motivation to start,Maybe,25.609749695488564
28,Female,170,57,Yes,Muscle gain,Medium,3–4,No,Wearable devices,Health,5,1,Maybe,<₹200,"Mental health tips, Reminders, Diet tracker, Community features",No,"Didn’t see results, Too expensive, Got bored",Guided,₹20k–₹50k,Need better results,Yes,19.304737623368034
30,Male,149,83,Yes,Improve flexibility,Medium,1–2,Yes,In-app tracking,Health,4,5,Maybe,₹500–₹1000,"Diet tracker, Community features, Challenges, Workout plans",Yes,Didn’t see results,Self-paced,₹50k–₹1L,Need better results,Maybe,36.75939870899024
18,Male,173,61,Yes,Muscle gain,Medium,1–2,No,In-app tracking,Appearance,4,5,Yes,₹200–₹500,"Mental health tips, Reminders",No,"Privacy concerns, Didn’t see results",Mix of both,₹50k–₹1L,Start but can’t continue,Yes,22.555931297142134
25,Male,160,68,Yes,Maintain health,High,3–4,Yes,In-app tracking,Others,5,1,Maybe,₹200–₹500,"Diet tracker, Challenges, Workout plans, Mental health tips",No,"Too expensive, App was buggy, Didn’t see results",Guided,₹50k–₹1L,Need better results,Yes,25.915632131955917
30,Male,166,60,Yes,Maintain health,High,5–6,Yes,Manual logs,Appearance,4,1,Yes,₹500–₹1000,"Challenges, Diet tracker",Yes,App was buggy,Mix of both,₹20k–₹50k,Consistent,Maybe,24.59574531965869
20,Female,181,96,Yes,Weight loss,Low,3–4,No,In-app tracking,Mental health,3,2,No,₹200–₹500,"Workout plans, Community features, Challenges, Diet tracker",Yes,Others,Self-paced,₹50k–₹1L,Need better results,Yes,26.836267699193513
33,Male,173,65,Yes,Muscle gain,High,5–6,No,In-app tracking,Energy,4,2,Maybe,₹200–₹500,"Reminders, Mental health tips, Diet tracker, Challenges",No,Got bored,Self-paced,₹50k–₹1L,Consistent,Maybe,21.21929614802833
25,Prefer not to say,162,97,No,Maintain health,Low,Daily,No,In-app tracking,Appearance,5,2,Yes,>₹1000,"Challenges, Community features, Diet tracker, Reminders",Yes,Others,Self-paced,₹50k–₹1L,Start but can’t continue,Yes,35.241421103775586
27,Male,156,82,Yes,Weight loss,Low,1–2,No,In-app tracking,Social influence,5,4,Maybe,₹500–₹1000,"Challenges, Diet tracker, Community features, Mental health tips",No,"Didn’t see results, Too expensive, Got bored",Self-paced,₹1L–₹2L,Start but can’t continue,Yes,33.75654551981119
25,Male,143,77,Yes,Muscle gain,Medium,3–4,No,In-app tracking,Social influence,5,5,No,<₹200,"Reminders, Community features, Challenges",Yes,Got bored,Mix of both,₹20k–₹50k,Need better results,Maybe,51.90807639433312
44,Female,157,75,Yes,Muscle gain,Medium,0,No,In-app tracking,Energy,2,1,Maybe,₹200–₹500,"Reminders, Workout plans",Yes,Privacy concerns,Mix of both,₹50k–₹1L,Start but can’t continue,Yes,31.666270275497233
29,Female,162,75,No,Others,High,1–2,No,Wearable devices,Appearance,2,5,Yes,>₹1000,"Diet tracker, Reminders, Mental health tips",Yes,Too expensive,Self-paced,₹50k–₹1L,Need better results,Yes,30.016273103659003
21,Female,155,41,No,Muscle gain,Low,3–4,No,Not tracking,Appearance,2,5,Yes,₹200–₹500,"Community features, Reminders, Challenges, Workout plans",Yes,"Privacy concerns, Too expensive",Self-paced,₹50k–₹1L,Consistent,Yes,20.077959356373125
36,Female,163,65,No,Improve flexibility,Medium,1–2,No,Manual logs,Health,2,2,Maybe,₹200–₹500,"Workout plans, Community features, Reminders",Yes,"Privacy concerns, Too expensive",Mix of both,₹50k–₹1L,Start but can’t continue,Maybe,26.159422588821506
20,Female,165,82,Yes,Muscle gain,High,5–6,No,Not tracking,Health,2,2,Yes,<₹200,"Diet tracker, Mental health tips",Yes,"Too expensive, Privacy concerns, Got bored",Mix of both,₹20k–₹50k,Consistent,Maybe,31.791550307477504
31,Male,162,69,Yes,Improve flexibility,High,1–2,No,Manual logs,Energy,2,5,Yes,<₹200,"Community features, Reminders",Yes,"Too expensive, Got bored, Didn’t see results",Mix of both,₹20k–₹50k,Consistent,Yes,27.653168665393235
14,Prefer not to say,158,48,Yes,Maintain health,Low,3–4,Yes,Manual logs,Others,2,2,Maybe,₹500–₹1000,"Mental health tips, Challenges, Workout plans, Community features",No,"Others, App was buggy",Self-paced,₹50k–₹1L,Consistent,Yes,18.791581771074405
19,Prefer not to say,166,69,Yes,Mental wellness,Low,3–4,No,Not tracking,Energy,5,4,Yes,₹500–₹1000,"Diet tracker, Workout plans, Mental health tips",Yes,"App was buggy, Got bored",Mix of both,₹50k–₹1L,Need motivation to start,Yes,28.277687392585378
31,Female,169,95,Yes,Muscle gain,Medium,3–4,No,Wearable devices,Social influence,1,1,Maybe,>₹1000,"Mental health tips, Diet tracker, Challenges",No,Privacy concerns,Mix of both,₹20k–₹50k,Need better results,Yes,34.370791074107416
35,Male,154,88,Yes,Maintain health,Low,1–2,No,In-app tracking,Mental health,2,5,Yes,₹500–₹1000,"Challenges, Workout plans, Mental health tips",Yes,Got bored,Guided,₹50k–₹1L,Consistent,Maybe,42.053372298886174
31,Female,179,69,Yes,Maintain health,High,5–6,Yes,In-app tracking,Health,5,1,Yes,<₹200,"Challenges, Diet tracker",Yes,"Got bored, Others",Self-paced,₹1L–₹2L,Need better results,No,25.042435566655676
29,Male,164,84,No,Muscle gain,High,3–4,No,Not tracking,Social influence,1,4,Maybe,₹0,"Diet tracker, Reminders",Yes,"Others, App was buggy, Too expensive",Self-paced,<₹20k,Consistent,Yes,31.924635842217917
27,Male,165,64,No,Weight loss,Low,3–4,No,Not tracking,Health,2,2,No,>₹1000,"Diet tracker, Community features, Mental health tips",Yes,"Privacy concerns, App was buggy",Mix of both,>₹2L,Start but can’t continue,Yes,24.29899700435919
18,Male,172,44,Yes,Weight loss,Low,0,No,Wearable devices,Social influence,1,3,No,₹200–₹500,"Reminders, Mental health tips",Yes,"Too expensive, Didn’t see results, Privacy concerns",Guided,<₹20k,Consistent,Maybe,16.536908751737105
24,Female,167,56,Yes,Weight loss,Low,3–4,No,In-app tracking,Health,1,4,No,₹200–₹500,"Reminders, Mental health tips",Yes,"Got bored, App was buggy",Self-paced,₹50k–₹1L,Need better results,Yes,23.24720609075403
26,Female,174,93,Yes,Mental wellness,High,5–6,Yes,Manual logs,Appearance,3,3,Maybe,>₹1000,"Diet tracker, Reminders, Community features",Yes,Got bored,Self-paced,₹50k–₹1L,Start but can’t continue,Maybe,27.647542637981985
38,Female,167,65,Yes,Weight loss,Low,3–4,No,Wearable devices,Social influence,4,1,Yes,₹200–₹500,"Challenges, Workout plans",Yes,"App was buggy, Others, Didn’t see results",Guided,₹20k–₹50k,Need better results,Yes,25.931504370661248
32,Female,158,66,No,Weight loss,Medium,5–6,No,In-app tracking,Energy,3,5,Yes,<₹200,"Challenges, Diet tracker, Workout plans",Yes,Didn’t see results,Self-paced,₹1L–₹2L,Start but can’t continue,Maybe,27.184517140045802
15,Male,168,65,Yes,Maintain health,Medium,3–4,No,Wearable devices,Social influence,1,2,Yes,₹500–₹1000,"Diet tracker, Reminders, Mental health tips",No,"Got bored, Too expensive",Mix of both,₹50k–₹1L,Need better results,No,25.190662047886082
32,Male,153,98,No,Weight loss,Medium,1–2,No,In-app tracking,Social influence,5,4,No,>₹1000,"Workout plans, Community features, Diet tracker, Mental health tips",Yes,"App was buggy, Privacy concerns, Got bored",Self-paced,₹20k–₹50k,Need better results,No,40.42567996321931
26,Male,166,94,Yes,Muscle gain,Low,0,Yes,In-app tracking,Appearance,2,2,Yes,₹0,"Mental health tips, Challenges, Diet tracker",No,"Too expensive, Privacy concerns, App was buggy",Self-paced,₹50k–₹1L,Consistent,Yes,32.58357626598156
24,Prefer not to say,164,103,No,Weight loss,Low,1–2,No,In-app tracking,Energy,4,3,Yes,₹500–₹1000,"Mental health tips, Diet tracker",Yes,"Got bored, Others, App was buggy",Self-paced,₹50k–₹1L,Start but can’t continue,Yes,38.97436623648707
34,Male,162,67,Yes,Others,High,3–4,No,Not tracking,Health,2,3,Yes,₹200–₹500,"Community features, Reminders, Mental health tips, Diet tracker",Yes,Privacy concerns,Self-paced,>₹2L,Consistent,Yes,27.481979384911945
38,Female,163,74,No,Mental wellness,High,5–6,Yes,Manual logs,Energy,5,5,Yes,₹200–₹500,"Challenges, Workout plans, Community features",Yes,"Didn’t see results, Got bored",Self-paced,₹50k–₹1L,Need better results,Maybe,25.388980679158948
37,Female,146,47,Yes,Mental wellness,Medium,1–2,No,In-app tracking,Mental health,4,3,Yes,>₹1000,"Reminders, Challenges, Mental health tips, Diet tracker",Yes,Got bored,Guided,₹20k–₹50k,Consistent,Yes,21.251801244209883
23,Male,159,92,No,Muscle gain,Low,3–4,No,Not tracking,Health,3,5,No,>₹1000,"Reminders, Diet tracker",No,"Got bored, Others, App was buggy",Guided,<₹20k,Consistent,Maybe,33.995543411739895
27,Female,165,52,Yes,Improve flexibility,Low,3–4,Yes,In-app tracking,Energy,1,4,Yes,<₹200,"Reminders, Workout plans, Challenges",Yes,Others,Mix of both,₹50k–₹1L,Consistent,No,19.936399913815226
32,Female,166,73,Yes,Weight loss,Medium,3–4,No,Manual logs,Mental health,5,5,Maybe,<₹200,"Community features, Challenges",Yes,"Didn’t see results, Got bored, Privacy concerns",Self-paced,₹50k–₹1L,Consistent,Yes,30.478662053826262
37,Female,154,53,No,Weight loss,Low,1–2,Yes,In-app tracking,Appearance,1,3,No,₹0,"Community features, Challenges, Workout plans, Mental health tips",Yes,App was buggy,Mix of both,>₹2L,Consistent,Maybe,21.677688693791733
26,Non-binary,177,61,No,Weight loss,High,1–2,No,Wearable devices,Social influence,1,1,Yes,₹200–₹500,"Community features, Diet tracker, Reminders",Yes,"Didn’t see results, Too expensive",Self-paced,₹50k–₹1L,Need motivation to start,Maybe,21.03949802160799
28,Male,156,57,No,Maintain health,Medium,1–2,No,Manual logs,Energy,2,5,No,₹0,"Challenges, Mental health tips, Reminders, Community features",No,Didn’t see results,Guided,₹1L–₹2L,Start but can’t continue,Yes,23.665205001508152
21,Male,174,60,No,Muscle gain,Low,0,No,In-app tracking,Social influence,5,2,Yes,₹200–₹500,"Community features, Challenges, Mental health tips, Workout plans",Yes,Too expensive,Mix of both,>₹2L,Need better results,Yes,20.555520002996158
20,Female,169,61,No,Muscle gain,High,1–2,No,In-app tracking,Health,1,1,Maybe,₹0,"Challenges, Workout plans, Mental health tips",Yes,Others,Guided,₹50k–₹1L,Need better results,Maybe,20.165329395634377
36,Non-binary,158,61,Yes,Weight loss,High,0,No,Not tracking,Appearance,3,5,Maybe,₹200–₹500,"Workout plans, Mental health tips, Reminders, Community features",Yes,Others,Mix of both,₹20k–₹50k,Need motivation to start,Maybe,25.74465717386796
40,Male,182,82,Yes,Muscle gain,Low,3–4,No,In-app tracking,Energy,4,2,No,₹0,"Challenges, Diet tracker",Yes,"Didn’t see results, Others",Guided,₹20k–₹50k,Need better results,Maybe,24.35303952461631
29,Female,153,53,Yes,Maintain health,Medium,1–2,Yes,In-app tracking,Appearance,5,1,No,₹500–₹1000,"Reminders, Workout plans, Diet tracker, Mental health tips",Yes,"App was buggy, Others, Got bored",Self-paced,₹20k–₹50k,Need motivation to start,Maybe,26.224264744026964
38,Female,174,73,No,Muscle gain,Low,Daily,No,Manual logs,Others,2,5,Yes,<₹200,"Reminders, Community features",Yes,"App was buggy, Others, Didn’t see results",Guided,₹50k–₹1L,Start but can’t continue,Yes,23.0897210261831
32,Female,175,88,Yes,Maintain health,Low,1–2,No,Wearable devices,Appearance,5,4,Yes,₹200–₹500,"Reminders, Mental health tips",Yes,"Too expensive, App was buggy, Didn’t see results",Mix of both,₹20k–₹50k,Need motivation to start,Maybe,30.692231637993316
24,Male,158,62,Yes,Weight loss,Low,1–2,No,Manual logs,Mental health,2,2,Maybe,₹500–₹1000,"Workout plans, Challenges, Mental health tips, Diet tracker",No,"Didn’t see results, Too expensive",Mix of both,₹20k–₹50k,Need better results,Yes,28.78296912221914
32,Female,178,59,Yes,Improve flexibility,Medium,1–2,No,Not tracking,Energy,4,4,Yes,₹500–₹1000,"Mental health tips, Workout plans",Yes,"Got bored, Privacy concerns",Guided,₹20k–₹50k,Need better results,Yes,20.99874909868056
42,Non-binary,162,66,No,Maintain health,High,0,No,Manual logs,Health,3,3,Yes,<₹200,"Community features, Reminders, Challenges",Yes,Too expensive,Guided,<₹20k,Consistent,Yes,23.343769103657014
29,Male,167,87,Yes,Weight loss,Medium,5–6,No,Wearable devices,Appearance,1,5,Yes,₹0,"Mental health tips, Community features",Yes,"Too expensive, Others",Guided,₹20k–₹50k,Start but can’t continue,Yes,29.20039686445893
42,Male,167,72,Yes,Weight loss,Low,0,Yes,In-app tracking,Energy,5,5,Maybe,₹500–₹1000,"Diet tracker, Reminders",Yes,"Privacy concerns, Got bored, Too expensive",Mix of both,₹20k–₹50k,Consistent,Yes,26.72320865191135
9,Prefer not to say,163,62,Yes,Maintain health,Medium,Daily,No,Wearable devices,Energy,2,2,Yes,₹200–₹500,"Challenges, Reminders",No,"Privacy concerns, Others",Self-paced,₹50k–₹1L,Consistent,Yes,23.459139636863053
36,Male,173,77,Yes,Improve flexibility,Low,5–6,Yes,Wearable devices,Health,4,5,Maybe,₹500–₹1000,"Diet tracker, Reminders, Community features",Yes,"Too expensive, Privacy concerns, Didn’t see results",Self-paced,₹20k–₹50k,Start but can’t continue,Yes,26.758500470652095
30,Female,172,53,Yes,Muscle gain,High,3–4,No,In-app tracking,Social influence,1,3,Yes,₹200–₹500,"Community features, Reminders, Challenges",No,"Didn’t see results, Privacy concerns",Guided,₹1L–₹2L,Start but can’t continue,Yes,20.305572379319504
27,Female,147,80,No,Weight loss,Medium,3–4,Yes,Manual logs,Health,4,5,Yes,₹200–₹500,"Diet tracker, Challenges, Reminders",Yes,"App was buggy, Others",Mix of both,<₹20k,Consistent,No,37.19639343759683
30,Male,178,76,No,Mental wellness,Low,3–4,Yes,Manual logs,Health,3,1,Maybe,₹200–₹500,"Challenges, Diet tracker, Mental health tips, Workout plans",Yes,"Others, Got bored, Too expensive",Self-paced,₹1L–₹2L,Start but can’t continue,Yes,22.729238990387906
14,Female,148,65,No,Maintain health,Low,1–2,No,Wearable devices,Energy,1,4,Yes,₹500–₹1000,"Community features, Reminders, Mental health tips",Yes,"Didn’t see results, Got bored, Too expensive",Mix of both,₹50k–₹1L,Need motivation to start,Yes,30.089938958378237
28,Male,175,57,Yes,Muscle gain,Medium,3–4,No,In-app tracking,Appearance,1,3,No,>₹1000,"Challenges, Community features",Yes,"Didn’t see results, App was buggy",Mix of both,₹50k–₹1L,Consistent,Maybe,21.65091965222777
32,Female,176,56,No,Muscle gain,Low,0,No,In-app tracking,Social influence,1,3,Yes,₹0,"Reminders, Workout plans, Community features",Yes,"Too expensive, Privacy concerns",Guided,₹50k–₹1L,Consistent,Yes,18.149870964210113
41,Male,154,78,Yes,Weight loss,Medium,0,No,Wearable devices,Health,2,4,Yes,₹200–₹500,"Diet tracker, Mental health tips, Challenges",Yes,App was buggy,Self-paced,₹20k–₹50k,Need better results,Yes,37.19236883459322
25,Female,160,88,Yes,Maintain health,Low,3–4,No,In-app tracking,Appearance,1,4,Yes,₹0,"Community features, Reminders",Yes,"Didn’t see results, Others, App was buggy",Mix of both,₹20k–₹50k,Need motivation to start,Maybe,36.14526897907577
23,Male,153,60,No,Muscle gain,Low,3–4,Yes,Wearable devices,Health,4,3,Maybe,₹200–₹500,"Diet tracker, Workout plans, Challenges, Reminders",No,Others,Self-paced,₹50k–₹1L,Consistent,Yes,27.210924551193237
25,Male,162,76,Yes,Others,Medium,5–6,No,Not tracking,Energy,2,4,No,₹500–₹1000,"Workout plans, Diet tracker, Challenges",No,"Others, Got bored",Guided,₹1L–₹2L,Start but can’t continue,Yes,27.86823850989679
37,Prefer not to say,161,38,Yes,Muscle gain,High,1–2,No,Manual logs,Energy,1,2,Maybe,₹200–₹500,"Challenges, Community features, Reminders, Diet tracker",Yes,"Got bored, App was buggy, Too expensive",Mix of both,>₹2L,Start but can’t continue,No,15.0
32,Male,172,61,No,Muscle gain,High,5–6,No,In-app tracking,Mental health,4,4,Yes,>₹1000,"Workout plans, Reminders, Community features, Challenges",Yes,"Didn’t see results, Too expensive",Mix of both,₹50k–₹1L,Consistent,Maybe,21.663901919089888
42,Female,178,69,Yes,Maintain health,Low,1–2,No,Not tracking,Appearance,4,1,No,₹200–₹500,"Community features, Workout plans, Diet tracker, Challenges",Yes,"App was buggy, Got bored, Others",Mix of both,₹50k–₹1L,Need motivation to start,Maybe,21.71812563623254
34,Male,178,56,No,Mental wellness,Low,1–2,No,In-app tracking,Health,5,1,Yes,>₹1000,"Diet tracker, Challenges",No,"Got bored, App was buggy",Mix of both,₹50k–₹1L,Start but can’t continue,Yes,20.196554025012553
30,Female,159,55,Yes,Improve flexibility,Low,1–2,No,Manual logs,Social influence,4,2,Maybe,₹500–₹1000,"Community features, Challenges, Mental health tips, Reminders",Yes,Too expensive,Self-paced,₹50k–₹1L,Consistent,Maybe,22.182125136392322
37,Male,162,93,No,Muscle gain,Medium,3–4,Yes,Wearable devices,Appearance,3,4,Maybe,<₹200,"Challenges, Community features, Workout plans, Mental health tips",Yes,Got bored,Self-paced,₹1L–₹2L,Start but can’t continue,Maybe,21.301709529014637
24,Prefer not to say,148,74,Yes,Maintain health,Medium,1–2,No,In-app tracking,Social influence,1,1,Maybe,<₹200,"Workout plans, Diet tracker",Yes,Didn’t see results,Guided,₹20k–₹50k,Need better results,Yes,34.48968664792195
27,Female,156,67,Yes,Maintain health,High,3–4,No,Manual logs,Appearance,1,5,Yes,₹200–₹500,"Diet tracker, Reminders, Mental health tips, Workout plans",Yes,"Too expensive, Privacy concerns, Got bored",Self-paced,₹1L–₹2L,Start but can’t continue,Yes,26.889021873552295
26,Male,174,36,No,Muscle gain,High,5–6,No,In-app tracking,Social influence,1,4,No,<₹200,"Diet tracker, Mental health tips, Workout plans, Community features",No,"Didn’t see results, Got bored, App was buggy",Guided,₹20k–₹50k,Start but can’t continue,Maybe,15.0
18,Male,181,38,Yes,Weight loss,Low,3–4,No,In-app tracking,Health,4,2,Yes,₹200–₹500,"Workout plans, Mental health tips",No,"Too expensive, Others, Privacy concerns",Guided,₹50k–₹1L,Start but can’t continue,Yes,15.0
32,Male,152,60,Yes,Muscle gain,Medium,3–4,Yes,In-app tracking,Energy,4,4,Maybe,₹200–₹500,"Reminders, Workout plans",Yes,Others,Mix of both,>₹2L,Start but can’t continue,Yes,29.767323879937297
32,Female,159,76,Yes,Weight loss,High,5–6,Yes,Manual logs,Appearance,1,3,Yes,>₹1000,"Challenges, Community features, Mental health tips",Yes,"Others, Got bored, Too expensive",Mix of both,₹1L–₹2L,Need better results,Yes,27.185826615870646
30,Male,164,28,Yes,Mental wellness,High,5–6,No,In-app tracking,Appearance,2,3,Yes,₹200–₹500,"Diet tracker, Community features, Mental health tips",Yes,"Too expensive, Privacy concerns",Mix of both,₹50k–₹1L,Consistent,Yes,15.0
28,Female,167,62,Yes,Weight loss,Low,3–4,No,In-app tracking,Appearance,2,1,Yes,₹500–₹1000,"Workout plans, Mental health tips, Community features",Yes,"Got bored, Too expensive, Others",Guided,₹20k–₹50k,Start but can’t continue,Yes,22.718529072120543
18,Male,156,62,Yes,Others,Low,1–2,Yes,In-app tracking,Appearance,3,3,Yes,>₹1000,"Community features, Challenges, Workout plans, Diet tracker",Yes,Got bored,Mix of both,₹20k–₹50k,Consistent,Yes,24.63452551534269
26,Male,169,90,No,Muscle gain,Medium,5–6,No,Manual logs,Health,5,2,Yes,₹500–₹1000,"Workout plans, Challenges, Mental health tips, Diet tracker",Yes,Didn’t see results,Guided,<₹20k,Need better results,Yes,27.131071468893207
27,Female,160,64,Yes,Maintain health,Low,3–4,No,Manual logs,Energy,3,1,Maybe,<₹200,"Workout plans, Challenges, Mental health tips, Reminders",No,"Privacy concerns, App was buggy",Self-paced,₹50k–₹1L,Need motivation to start,Maybe,29.005059043788005
23,Female,164,75,Yes,Muscle gain,Low,1–2,No,Wearable devices,Energy,1,2,No,₹200–₹500,"Diet tracker, Challenges",No,"Privacy concerns, Got bored, Didn’t see results",Mix of both,₹50k–₹1L,Start but can’t continue,Yes,29.548854119474186
28,Male,170,72,Yes,Weight loss,Low,1–2,No,Manual logs,Mental health,1,2,Maybe,₹200–₹500,"Workout plans, Reminders, Community features, Diet tracker",Yes,"App was buggy, Others, Didn’t see results",Self-paced,₹50k–₹1L,Start but can’t continue,Yes,22.610879254187264
33,Male,165,38,Yes,Muscle gain,Medium,5–6,No,In-app tracking,Mental health,1,3,Maybe,₹200–₹500,"Diet tracker, Community features, Mental health tips",Yes,"Others, Privacy concerns",Mix of both,₹50k–₹1L,Need better results,Maybe,15.0
45,Male,160,81,No,Weight loss,Low,0,No,Not tracking,Energy,5,3,Yes,₹200–₹500,"Challenges, Community features",Yes,"Others, Too expensive",Self-paced,₹50k–₹1L,Need motivation to start,Maybe,28.904706722814407
31,Female,163,73,Yes,Maintain health,Low,Daily,No,Wearable devices,Health,4,2,No,₹500–₹1000,"Diet tracker, Community features",No,Too expensive,Self-paced,₹50k–₹1L,Start but can’t continue,Yes,27.39229411989233
32,Female,164,77,No,Muscle gain,Low,1–2,No,In-app tracking,Health,5,3,Yes,₹200–₹500,"Community features, Mental health tips",No,"Got bored, Privacy concerns, Too expensive",Guided,₹1L–₹2L,Consistent,Yes,31.77495680052694
29,Female,161,128,Yes,Improve flexibility,High,5–6,No,Manual logs,Health,3,3,Maybe,₹200–₹500,"Mental health tips, Reminders, Community features",Yes,"Too expensive, Others",Mix of both,<₹20k,Consistent,Yes,45.0
14,Female,162,38,No,Weight loss,High,1–2,No,Manual logs,Social influence,4,3,Yes,>₹1000,"Community features, Workout plans, Diet tracker",No,"Too expensive, Others, Privacy concerns",Self-paced,₹1L–₹2L,Need better results,Maybe,15.0
